date,source,url,currency,title,estimator_id,time_horizon,horizon_days,valid_to_date,confidence,reasoning
2026-03-02,FXStreet,https://www.fxstreet.com/news/gbp-jpy-price-forecast-bullish-engulfing-pattern-puts-21100-in-play-202603022023,GBP,GBP/JPY Price Forecast: Bullish engulfing pattern puts 211.00 in play,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article focuses on intraday price action and immediate market reactions, indicating an immediate/short-term impact on the GBP/JPY currency pair."
2026-03-02,FXStreet,https://www.fxstreet.com/news/gbp-politics-drag-but-macro-supports-ocbc-202603021503,GBP,GBP: Politics drag but macro supports – OCBC,llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article discusses political risks in the UK, including a potential Labour leadership challenge, which are likely to weigh on the Pound in the medium-term (2 weeks) as these developments unfold. However, the article also notes that macro factors continue to support the Pound, suggesting a more balanced market impact."
2026-03-02,FXStreet,https://www.fxstreet.com/news/gbp-jpy-price-forecast-technical-structure-turns-constructive-above-21000-202603021310,GBP,GBP/JPY Price Forecast: Technical structure turns constructive above 210.00,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article focuses on immediate price action and market volatility, indicating an intraday or short-term impact on the GBP/JPY currency pair."
2026-03-02,NewsAPI (Newsonjapan.com),https://newsonjapan.com/article/148511.php,JPY,Yen’s Purchasing Power Falls to One-Third Over 30 Years,llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a long-term trend of yen depreciation and its impact on inflation, suggesting a longer-term market impact beyond immediate or short-term reactions."
2026-03-02,ForexLive,https://investinglive.com/news/qatarenergy-halts-lng-production-after-military-attacks-on-its-facilities-20260302/,CAD,QatarEnergy halts LNG production after military attacks on its facilities,llm-horizon-v1-default,2week,14,2026-03-16,0.8,The attack on QatarEnergy's LNG production facilities is a medium-term geopolitical event that is likely to impact the global LNG market for the next 2 weeks as supply disruptions are addressed and the market adjusts.
2026-03-02,Yahoo Finance,https://finance.yahoo.com/news/borderlands-mexico-canada-mexico-draw-120000636.html,CAD,"Borderlands Mexico: Canada, Mexico draw record foreign investment in 2025",llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a longer-term trend of increased foreign investment in Canada and Mexico, suggesting a structural change in the market that is likely to have a longer-term impact beyond the immediate or short-term."
2026-03-02,Yahoo Finance,https://finance.yahoo.com/news/3-reasons-buy-mercadolibre-stock-113500499.html,CAD,3 Reasons to Buy MercadoLibre Stock Like There's No Tomorrow,llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses long-term reasons to buy MercadoLibre stock, indicating a longer-term market impact beyond the immediate or short-term. The focus on structural trends and the lack of references to near-term events or data suggest a medium to longer-term time horizon."
2026-03-02,ForexLive,https://investinglive.com/news/france-february-final-manufacturing-pmi-501-vs-499-prelim-20260302/,CHF,France February final manufacturing PMI 50.1 vs 49.9 prelim,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses the latest French manufacturing PMI data, which is a monthly economic indicator. The market impact is likely to be felt in the near-term, around the release of the next PMI report in about a week."
2026-03-02,ForexLive,https://investinglive.com/news/switzerland-february-manufacturing-pmi-474-vs-500-expected-20260302/,CHF,Switzerland February manufacturing PMI 47.4 vs 50.0 expected,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article discusses the disappointing Swiss manufacturing PMI data, which is a monthly economic indicator. This type of data release typically has a near-term impact on the currency market, lasting around 1 week as it provides insights into the current state of the economy."
2026-03-02,FXStreet,https://www.fxstreet.com/news/us-trumpism-energy-leverage-and-china-rabobank-202603021407,CNY,"US: Trumpism, energy leverage and China – Rabobank",llm-horizon-v1-default,1month,30,2026-04-01,0.8,"The article discusses a broader 'Grand Macro Strategy' under Trumpism, which suggests a longer-term structural impact on the CNY currency rather than immediate or short-term reactions. The focus on controlling key raw materials and energy flows that China relies on points to a medium to longer-term geopolitical and economic shift."
2026-03-02,NewsAPI (The Times of India),https://economictimes.indiatimes.com/news/international/us/why-are-gold-and-silver-prices-increasing-now-and-will-gold-touch-6000-and-silver-200-soon-precious-metals-rise-current-prices-analysts-insights-and-market-outlook-explained-heres-what-should-investors-do-now/articleshow/128883276.cms,CNY,"Why are gold and silver prices increasing now, and will gold touch $6,000 and silver $200 soon? Precious metals rise, current prices, analysts insights and market outlook explained. Here's what should investors do now",llm-horizon-v1-default,2week,14,2026-03-16,0.8,"The article discusses geopolitical tensions between Israel and Iran, which are expected to drive safe-haven demand for precious metals. This medium-term market impact is likely to last for the next 2 weeks as the situation develops."
2026-03-02,ForexLive,https://investinglive.com/news/investinglive-asia-pacific-market-news-wrap-oil-up-5-with-eyes-on-iran-20260302/,USD,investingLive Asia-Pacific market news wrap: Oil up 5% with eyes on Iran,llm-horizon-v1-default,1week,7,2026-03-09,0.8,"The article covers a mix of immediate market reactions (oil price surge, bond yield increase) as well as near-term central bank and geopolitical developments, suggesting a primary impact window of around 1 week."
2026-03-02,ForexLive,https://investinglive.com/news/a-look-at-markets-as-the-opening-dust-settles-20260302/,USD,A look at markets as the opening dust settles,llm-horizon-v1-default,1day,1,2026-03-03,0.8,"The article describes immediate market reactions and price movements, indicating an intraday/immediate impact. The news of US and Israeli strikes on Iran is a geopolitical event that is likely to have a short-term effect on markets, with the primary impact being seen within the first trading day."
