date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-02-26,,https://www.fxstreet.com/news/boe-stronger-data-versus-easing-path-standard-chartered-202602261459,GBP,BoE: Stronger data versus easing path – Standard Chartered,keyword-sentiment-v1.1,neutral,,0.3,,GBP mixed signals; markets consolidating
2026-02-26,,https://www.fxstreet.com/news/boe-stronger-data-versus-easing-path-standard-chartered-202602261459,GBP,BoE: Stronger data versus easing path – Standard Chartered,llm-sentiment-v1,bullish,medium,0.8,,"The article suggests that stronger UK economic data in early 2026 could lead the Bank of England to cut interest rates more slowly, which would be positive for the British pound."
2026-02-26,,https://investinglive.com/news/economic-event-calendar-in-asia-27-february-2026-japan-inflation-indicator-tokyo-cpi-20260226/,JPY,Economic & event calendar in Asia 27 February 2026 - Japan inflation indicator (Tokyo CPI),keyword-sentiment-v1.1,neutral,,0.3,,JPY mixed signals; markets consolidating
2026-02-26,,https://investinglive.com/news/investinglive-asia-pacific-fx-news-wrap-hawkish-boj-ueda-takata-boost-jpy-20260226/,JPY,investingLive Asia-Pacific FX news wrap: Hawkish BoJ (Ueda & Takata) boost JPY,keyword-sentiment-v1.1,bullish,medium,0.9,,JPY showing strength with 4 positive indicators
2026-02-26,,https://investinglive.com/news/economic-event-calendar-in-asia-27-february-2026-japan-inflation-indicator-tokyo-cpi-20260226/,JPY,Economic & event calendar in Asia 27 February 2026 - Japan inflation indicator (Tokyo CPI),llm-sentiment-v1,bearish,medium,0.8,,"The article indicates that the Tokyo CPI (consumer price index), which is a key inflation indicator for Japan, has been easing in the previous two months. This suggests that inflationary pressures in Japan are declining, which is typically seen as a bearish signal for the Japanese yen (JPY)."
2026-02-26,,https://investinglive.com/news/investinglive-asia-pacific-fx-news-wrap-hawkish-boj-ueda-takata-boost-jpy-20260226/,JPY,investingLive Asia-Pacific FX news wrap: Hawkish BoJ (Ueda & Takata) boost JPY,llm-sentiment-v1,bullish,medium,0.8,,"The article mentions several hawkish signals for the Bank of Japan, including comments from BOJ officials Ueda and Takata indicating a risk of inflation overshooting and backing further gradual rate hikes. This suggests a more hawkish BOJ stance, which is bullish for the Japanese yen."
2026-02-26,,https://investinglive.com/news/investinglive-americas-market-news-wrap-nvidia-shares-sink-after-earnings-20260226/,CAD,investingLive Americas market news wrap: Nvidia shares sink after earnings,keyword-sentiment-v1.1,neutral,,0.3,,CAD mixed signals; markets consolidating
2026-02-26,,https://investinglive.com/news/canadian-minister-govt-to-govt-conversations-on-usmca-are-not-discouraging-20260226/,CAD,"Canadian minister: Gov't to gov't conversations on USMCA are ""not discouraging""",keyword-sentiment-v1.1,bearish,small,0.9,,CAD showing weakness with 2 negative indicators
2026-02-26,,https://investinglive.com/news/investinglive-americas-market-news-wrap-nvidia-shares-sink-after-earnings-20260226/,CAD,investingLive Americas market news wrap: Nvidia shares sink after earnings,llm-sentiment-v1,bullish,medium,0.8,,"The article mentions that Canada's Q4 current account deficit was $0.71B, which is better than the expected $7.71B. This suggests stronger economic performance and is a positive indicator for the Canadian dollar."
2026-02-26,,https://investinglive.com/news/canadian-minister-govt-to-govt-conversations-on-usmca-are-not-discouraging-20260226/,CAD,"Canadian minister: Gov't to gov't conversations on USMCA are ""not discouraging""",llm-sentiment-v1,bullish,medium,0.7,,"The article suggests a positive sentiment for the Canadian dollar (CAD) based on the minister's comments that government-to-government conversations on the USMCA trade agreement are 'not discouraging' and that there is potential for bilateral sectoral arrangements with the US, which implies a constructive outlook for Canada-US trade relations."
