date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-03-01,,https://economictimes.indiatimes.com/markets/stocks/news/new-era-of-trade-volatility-what-the-courts-decision-and-trumps-tariff-pivot-mean-for-commodities/articleshow/128875195.cms,USD,New era of trade volatility: What the court’s decision and Trump’s tariff pivot mean for commodities,keyword-sentiment-v1.1,bearish,medium,0.9,,USD showing weakness with 3 negative indicators
2026-03-01,,https://economictimes.indiatimes.com/markets/forex/us-dollar-heads-for-first-monthly-gain-since-october/articleshow/128874916.cms,USD,US dollar heads for first monthly gain since October,keyword-sentiment-v1.1,bullish,small,0.9,,USD showing strength with 1 positive indicators
2026-03-01,,https://economictimes.indiatimes.com/markets/stocks/news/new-era-of-trade-volatility-what-the-courts-decision-and-trumps-tariff-pivot-mean-for-commodities/articleshow/128875195.cms,USD,New era of trade volatility: What the court’s decision and Trump’s tariff pivot mean for commodities,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that the Supreme Court's decision to block Trump's tariffs under IEEPA and his swift 15% global levy revived uncertainty, which pressured the dollar. This suggests a bearish sentiment for the USD."
2026-03-01,,https://economictimes.indiatimes.com/markets/forex/us-dollar-heads-for-first-monthly-gain-since-october/articleshow/128874916.cms,USD,US dollar heads for first monthly gain since October,llm-sentiment-v1,bullish,medium,0.8,,"The article indicates that the US dollar is poised for its first monthly gain since October, suggesting a bullish sentiment for the USD. The initial boost from hotter-than-expected producer price data, despite a midday retreat, points to an overall positive outlook for the US dollar."
2026-03-01,,https://finance.yahoo.com/news/enlight-renewable-enlt-reports-record-035751706.html,EUR,"Enlight Renewable (ENLT) Reports Record Q4 and Full-Year 2025 Results, Market Share Expands in European Storage Sector",keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-01,,https://english.khabarhub.com/2026/28/536950/,EUR,Foreign currency exchange rates fixed for today,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-01,,https://finance.yahoo.com/news/keurig-dr-pepper-kdp-gets-043739403.html,EUR,Keurig Dr Pepper (KDP) Gets Price Target Increase to $32 from Barclays,keyword-sentiment-v1.1,neutral,,0.3,,EUR mixed signals; markets consolidating
2026-03-01,,https://finance.yahoo.com/news/enlight-renewable-enlt-reports-record-035751706.html,EUR,"Enlight Renewable (ENLT) Reports Record Q4 and Full-Year 2025 Results, Market Share Expands in European Storage Sector",llm-sentiment-v1,neutral,null,0.3,,"The article is about the financial results of a renewable energy company, Enlight Renewable, and does not contain any information directly related to the EUR currency or the European FX market. Therefore, the sentiment for EUR is neutral."
2026-03-01,,https://english.khabarhub.com/2026/28/536950/,EUR,Foreign currency exchange rates fixed for today,llm-sentiment-v1,neutral,small,0.7,,"The article does not provide any clear directional sentiment for the EUR. It simply states the current buying and selling rates for the EUR against the Nepalese Rupee, which is not a major currency pair. Without any additional context or analysis, the sentiment for EUR is considered neutral with a small expected impact."
2026-03-01,,https://finance.yahoo.com/news/keurig-dr-pepper-kdp-gets-043739403.html,EUR,Keurig Dr Pepper (KDP) Gets Price Target Increase to $32 from Barclays,llm-sentiment-v1,neutral,null,0.2,,"The given article is about a price target increase for Keurig Dr Pepper, which is not directly related to the EUR currency. There is no information in the article that would indicate a bullish or bearish sentiment for the EUR."
2026-03-01,,https://www.globenewswire.com/news-release/2026/02/27/3246821/0/en/AS-Silvano-Fashion-Group-Consolidated-Interim-Financial-Report-for-Q4-and-12m-of-2025-unaudited.html,AUD,AS Silvano Fashion Group Consolidated Interim Financial Report for Q4 and 12m of 2025 (unaudited),keyword-sentiment-v1.1,bearish,small,0.9,,AUD showing weakness with 1 negative indicators
2026-03-01,,https://www.globenewswire.com/news-release/2026/02/27/3246821/0/en/AS-Silvano-Fashion-Group-Consolidated-Interim-Financial-Report-for-Q4-and-12m-of-2025-unaudited.html,AUD,AS Silvano Fashion Group Consolidated Interim Financial Report for Q4 and 12m of 2025 (unaudited),llm-sentiment-v1,neutral,null,0.2,,"The article is about the financial results of Silvano Fashion Group and does not contain any information related to the Australian dollar (AUD) or the foreign exchange market. Therefore, there is no basis to determine the sentiment for AUD."
