date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-02-24,,https://www.fxstreet.com/news/boes-pill-bearing-down-on-inflationary-pressures-remains-necessary-202602241706,GBP,BoE’s Pill: Bearing down on inflationary pressures remains necessary,keyword-sentiment-v1.1,bearish,small,0.9,,GBP showing weakness with 2 negative indicators
2026-02-24,,https://www.fxstreet.com/news/boes-governor-bailey-rate-cut-at-next-meeting-is-a-genuinely-open-question-202602241705,GBP,BoE’s Governor Bailey: Rate cut at next meeting is a genuinely open question,keyword-sentiment-v1.1,bearish,small,0.75,,GBP showing weakness with 1 negative indicators
2026-02-24,,https://www.fxstreet.com/news/bank-of-england-cuts-on-the-table-conviction-still-building-202602241538,GBP,"Bank of England: Cuts on the table, conviction still building",keyword-sentiment-v1.1,bearish,small,0.9,,GBP showing weakness with 2 negative indicators
2026-02-24,,https://www.fxstreet.com/news/gbp-jpy-climbs-above-two-week-range-as-yen-weakens-bailey-testimony-eyed-202602241413,GBP,"GBP/JPY climbs above two-week range as Yen weakens, Bailey testimony eyed",keyword-sentiment-v1.1,bullish,medium,0.86,GBP/JPY,GBP/JPY: GBP showing strength with 4 positive indicators
2026-02-24,,https://www.fxstreet.com/news/boes-pill-bearing-down-on-inflationary-pressures-remains-necessary-202602241706,GBP,BoE’s Pill: Bearing down on inflationary pressures remains necessary,llm-sentiment-v1,bearish,medium,0.8,,"The article suggests that the Bank of England has been too focused on inflation being near the target rather than looking ahead, which implies a more hawkish stance from the central bank. This is likely to be seen as bearish for the GBP as it signals the BoE may need to raise interest rates further to combat inflationary pressures."
2026-02-24,,https://www.fxstreet.com/news/boes-governor-bailey-rate-cut-at-next-meeting-is-a-genuinely-open-question-202602241705,GBP,BoE’s Governor Bailey: Rate cut at next meeting is a genuinely open question,llm-sentiment-v1,bearish,medium,0.8,,"The article suggests that the Bank of England is considering a rate cut at its next meeting, which would be dovish and negative for the British pound."
2026-02-24,,https://www.fxstreet.com/news/bank-of-england-cuts-on-the-table-conviction-still-building-202602241538,GBP,"Bank of England: Cuts on the table, conviction still building",llm-sentiment-v1,bearish,medium,0.8,,"The article suggests that the Bank of England is considering further monetary policy easing, which would be dovish and negative for the British pound."
2026-02-24,,https://www.fxstreet.com/news/gbp-jpy-climbs-above-two-week-range-as-yen-weakens-bailey-testimony-eyed-202602241413,GBP,"GBP/JPY climbs above two-week range as Yen weakens, Bailey testimony eyed",llm-sentiment-v1,bullish,medium,0.8,GBP/JPY,"GBP/JPY: The article indicates that the British Pound (GBP) has strengthened against the Japanese Yen (JPY) due to the Yen weakening broadly, which is a positive sign for GBP. Additionally, the mention of the Bank of Japan governor's concerns about further interest rate hikes suggests a dovish stance, which is also bullish for GBP."
2026-02-24,,https://timesofindia.indiatimes.com/india/political-messaging-behind-timing-of-installation-of-rajajis-bust/articleshow/128727022.cms,JPY,Political messaging behind timing of installation of Rajaji’s bust?,keyword-sentiment-v1.1,bullish,small,0.9,,JPY showing strength with 1 positive indicators
2026-02-24,,https://timesofindia.indiatimes.com/india/political-messaging-behind-timing-of-installation-of-rajajis-bust/articleshow/128727022.cms,JPY,Political messaging behind timing of installation of Rajaji’s bust?,llm-sentiment-v1,neutral,null,0.3,,"The article does not contain any information directly related to the Japanese Yen (JPY) or the FX market. It discusses the installation of a bust in India, which does not appear to have any clear implications for the JPY."
2026-02-24,,https://www.fxstreet.com/news/cny-pboc-on-hold-as-yuan-firms-bny-202602241907,CAD,CNY: PBoC on hold as Yuan firms – BNY,keyword-sentiment-v1.1,bearish,medium,0.64,,CAD showing weakness with 3 negative indicators
2026-02-24,,https://finance.yahoo.com/news/want-1-million-retirement-invest-133100586.html,CAD,"Want $1 Million in Retirement? Invest $100,000 in These 3 Stocks and Wait a Decade.",keyword-sentiment-v1.1,neutral,,0.3,,CAD mixed signals; markets consolidating
2026-02-24,,https://www.fxstreet.com/news/cny-pboc-on-hold-as-yuan-firms-bny-202602241907,CAD,CNY: PBoC on hold as Yuan firms – BNY,llm-sentiment-v1,neutral,small,0.7,,"The article discusses the People's Bank of China's monetary policy decision, which is not directly related to the Canadian dollar. There are no clear indications of the sentiment for the CAD in the article."
2026-02-24,,https://finance.yahoo.com/news/want-1-million-retirement-invest-133100586.html,CAD,"Want $1 Million in Retirement? Invest $100,000 in These 3 Stocks and Wait a Decade.",llm-sentiment-v1,neutral,null,0.7,,"The article is focused on investing in stocks for retirement and does not contain any information directly related to the Canadian dollar (CAD). There are no mentions of the CAD or any FX-related indicators, so the sentiment for CAD is neutral."
2026-02-24,,https://www.fxstreet.com/news/france-growth-outlook-softens-on-weaker-business-climate-ing-202602241528,CHF,France: Growth outlook softens on weaker business climate – ING,keyword-sentiment-v1.1,bearish,small,0.9,,CHF showing weakness with 2 negative indicators
2026-02-24,,https://www.fxstreet.com/news/france-growth-outlook-softens-on-weaker-business-climate-ing-202602241528,CHF,France: Growth outlook softens on weaker business climate – ING,llm-sentiment-v1,bearish,medium,0.7,,"The article mentions that the French business confidence fell further in February, with the overall climate below its long-term average and services particularly weak. This suggests economic weakness, which is generally bearish for the Swiss franc (CHF)."
2026-02-24,,https://investinglive.com/news/china-says-it-expects-to-hold-trade-talks-with-the-us-in-the-near-future-20260224/,CNY,China says it expects to hold trade talks with the US in the near future,keyword-sentiment-v1.1,bullish,small,0.9,,CNY showing strength with 1 positive indicators
2026-02-24,,https://investinglive.com/news/china-adds-20-japanese-firms-to-export-control-list-tightening-dual-use-trade-20260224/,CNY,"China adds 20 Japanese firms to export control list, tightening dual-use trade",keyword-sentiment-v1.1,bullish,small,0.9,,CNY showing strength with 1 positive indicators
