date,source,url,currency,title,generator_id,predicted_direction,predicted_magnitude,confidence,pair_context,reasoning
2026-03-08,,https://cointelegraph.com/news/canada-first-tokenized-bond,CAD,Bank of Canada pilot issues country’s first tokenized bond,keyword-sentiment-v1.1,neutral,,0.3,,CAD mixed signals; markets consolidating
2026-03-08,,https://cointelegraph.com/news/canada-first-tokenized-bond,CAD,Bank of Canada pilot issues country’s first tokenized bond,llm-sentiment-v1,bullish,medium,0.7,,"The article discusses a pilot involving the Bank of Canada and major financial institutions to test the use of distributed ledger technology for bond issuance, trading, and settlement. This suggests the central bank is exploring innovative financial technologies, which is generally a positive sign for the currency."
2026-03-08,,https://finance.yahoo.com/personal-finance/mortgages/article/heloc-home-equity-loan-interest-rates-today-saturday-march-7-2026-110039970.html,USD,"HELOC and home equity loan rates Saturday, March 7, 2026: Absorbing a Fed rate pause",keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-08,,https://finance.yahoo.com/news/marvell-technology-mrvl-rockets-18-063326248.html,USD,Marvell Technology (MRVL) Rockets 18% on Billion-Dollar Profitability,keyword-sentiment-v1.1,neutral,,0.3,,USD mixed signals; markets consolidating
2026-03-08,,https://slashdot.org/firehose.pl?op=view&amp;id=180923102,USD,Two-Sided Risks Come into View for the Economy - Forex Factory,keyword-sentiment-v1.1,bearish,small,0.75,,USD showing weakness with 1 negative indicators
2026-03-08,,https://www.thehindubusinessline.com/markets/forex/west-asia-conflict-rupee-ends-the-week-77-paise-weaker/article70712615.ece,USD,West Asia conflict: Rupee ends week 77 paise weaker,keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 2 negative indicators
2026-03-08,,https://www.thehindubusinessline.com/money-and-banking/west-asia-conflict-rupee-ends-the-week-77-paise-weaker/article70712615.ece,USD,West Asia conflict: Rupee ends the week 77 paise weaker,keyword-sentiment-v1.1,bearish,small,0.9,,USD showing weakness with 2 negative indicators
2026-03-08,,https://finance.yahoo.com/personal-finance/mortgages/article/heloc-home-equity-loan-interest-rates-today-saturday-march-7-2026-110039970.html,USD,"HELOC and home equity loan rates Saturday, March 7, 2026: Absorbing a Fed rate pause",llm-sentiment-v1,neutral,null,0.5,,"The article discusses HELOC and home equity loan rates, which are not directly related to the US dollar. There are no clear indications of sentiment for the US dollar in the given information."
2026-03-08,,https://finance.yahoo.com/news/marvell-technology-mrvl-rockets-18-063326248.html,USD,Marvell Technology (MRVL) Rockets 18% on Billion-Dollar Profitability,llm-sentiment-v1,neutral,null,0.5,,"The article discusses the financial performance of Marvell Technology, a technology company, and does not contain any information directly related to the US dollar or the foreign exchange market. Therefore, the sentiment for the US dollar is neutral."
2026-03-08,,https://slashdot.org/firehose.pl?op=view&amp;id=180923102,USD,Two-Sided Risks Come into View for the Economy - Forex Factory,llm-sentiment-v1,bearish,medium,0.8,,"The article discusses rising inflation concerns and a potential economic slowdown, which would be negative for the US dollar."
2026-03-08,,https://www.thehindubusinessline.com/markets/forex/west-asia-conflict-rupee-ends-the-week-77-paise-weaker/article70712615.ece,USD,West Asia conflict: Rupee ends week 77 paise weaker,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that the Indian rupee weakened by 77 paise against the US dollar, which implies a strengthening of the US dollar. This is due to the conflict in West Asia and rising oil prices, both of which are negative factors for the Indian economy and currency."
2026-03-08,,https://www.thehindubusinessline.com/money-and-banking/west-asia-conflict-rupee-ends-the-week-77-paise-weaker/article70712615.ece,USD,West Asia conflict: Rupee ends the week 77 paise weaker,llm-sentiment-v1,bearish,medium,0.8,,"The article mentions that the Indian rupee weakened by 77 paise against the US dollar, which implies a strengthening of the US dollar. This is due to the conflict in West Asia and rising oil prices, both of which are negative factors for the Indian economy and currency."
2026-03-08,,https://whatjapanthinks.com/avolin-neris-review/,AUD,Avolin Neris Review: Trusted Trading System or Fraud? Results Exposed,keyword-sentiment-v1.1,neutral,,0.3,,AUD mixed signals; markets consolidating
2026-03-08,,https://whatjapanthinks.com/avolin-neris-review/,AUD,Avolin Neris Review: Trusted Trading System or Fraud? Results Exposed,llm-sentiment-v1,neutral,null,0.3,,The article is about a crypto trading system and does not contain any information related to the Australian dollar or the FX market. There are no clear bullish or bearish signals for the AUD.
