date,source,url,currency,title,snippet
2026-03-06,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/03/05/3249988/0/en/Verisk-Reiterates-its-Growth-Targets-and-Outlines-Strategy-for-its-Next-Phase-of-Compounding-Growth-at-2026-Investor-Day.html,GBP,Verisk Reiterates its Growth Targets and Outlines Strategy for its Next Phase of Compounding Growth at 2026 Investor Day,"JERSEY CITY, N.J., March 05, 2026 (GLOBE NEWSWIRE) -- Verisk (Nasdaq: VRSK), a leading strategic data analytics and technology partner to the global insurance industry, will host its Investor Day today at 8 a.m. ET, where Verisk President and CEO Lee Shavel, …"
2026-03-06,Yahoo Finance,https://finance.yahoo.com/news/galaxy-digital-glxy-climbs-17-010224653.html,CAD,"Galaxy Digital (GLXY) Climbs 17.7% on Canada Delisting, Bitcoin Surge",
2026-03-06,NewsAPI (GlobeNewswire),https://www.globenewswire.com/news-release/2026/03/05/3249855/0/en/Strong-fourth-quarter-results-and-record-high-production.html,NOK,Strong fourth quarter results and record-high production,"(Oslo, Norway, 5 March 2026) – Statkraft delivered strong underlying results in the fourth quarter of 2025, driven by higher Nordic power prices and record-high production. For the full year, production exceeded 70 TWh for the first time, while continued cost…"
2026-03-06,ForexLive,https://investinglive.com/news/china-hopes-to-convince-iran-to-allow-lng-to-pass-through-hormuz-20260306/,CNY,China hopes to convince Iran to allow LNG to pass through Hormuz,"Reuters is reporting that China is in direct talks with Iran to secure safe passage through the Strait of Hormuz for crude and Qatari LNG vessels. They cited three three diplomatic sources who are unnamed.We're on day six of the US-Israeli conflict with Iran and the Strait is effectively closed for business, with about a fifth of global oil and LNG supply bottlenecked. Crude tanker transits collapsed from an average of 24 per day to just four on March 1. Around 300 tankers are sitting inside the"
2026-03-06,ForexLive,https://investinglive.com/news/japan-finance-minister-says-will-respond-nimbly-to-latest-market-movements-20260306/,USD,Japan finance minister says will respond nimbly to latest market movements,"Japan has not fully exited from deflationCompiling extra budget would of course be an option as said beforeGovernment ready to take steps in a timely manner to combat economic impact from US-Iran conflictMarkets are making big moves so we will respond nimbly while closely communicating with peersWith all the focus on the Middle East, we may get some added volatility from Japan before the week comes to a close. USD/JPY is bordering at the week's highs near the 158.00 level, threatening its highes"
2026-03-06,ForexLive,https://investinglive.com/news/investinglive-asia-pacific-market-news-wrap-the-mood-improves-modestly-20260306/,USD,investingLive Asia-Pacific market news wrap: The mood improves modestly,"China hopes to convince Iran to allow LNG to pass through HormuzGulf states could review overseas investments - reportFed's Goolsbee: Institutions are facing a crisis of trustUS admiral: Iran's ballistic missile attacks have decreased by 90%Trump says Iran is contacting them seeking guidance on negotiating a dealCostco beats on earnings but little reaction from sharesMarkets:Gold up $57 to $5133WTI crude oil down 96-cents to $80.04AUD leads, USD lagsNikkei up 0.5%US 10-year yields down 1.2 bps t"
2026-03-06,ForexLive,https://investinglive.com/news/australian-dollar-climbs-as-a-positive-risk-mood-leads-to-us-dollar-selling-20260306/,USD,Australian dollar climbs as a positive risk mood leads to US dollar selling,"The mood is improving in Asia.The steady selling of risk assets and flight to the US dollar has given way to some optimism in Asia and that's reflected in decent bids in the Australian dollar and broad USD weakness. That's come with some oil selling as the US floats more measures to stop the runaway rise in crude prices.Notably, gold remains strongly bid as it has all week in Asia-Pacific hours. It just hit a session high, up $31 to $51.06. S&P 500 futures are fractionally higher but the Nikkei'"
2026-03-06,ForexLive,https://investinglive.com/news/us-import-prices-for-january-02-vs-02-expected-export-prices-06-vs-03-expected-20260305/,USD,US import prices for January 0.2% vs. 0.2% expected. Export prices 0.6% vs 0.3% expected,Import Prices:Prior month import prices 0.1% revised higher to 0.2%Import prices MoM for January 0.2% vs 0.2% expectedImport Prices YoY x.x% vs 0.0% last monthExport Prices:Prior month export prices 0.3% revised higher to 0.6%Export prices MoM 0.6% vs 0.3%.The U.S. Import and Export Price Indexes are released monthly by the Bureau of Labor Statistics (BLS) and measure how prices are changing for goods and services traded between the United States and the rest of the world.Import prices track the
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-upside-risks-build-on-data-and-geopolitics-ocbc-202603061140,USD,USD: Upside risks build on data and geopolitics – OCBC,OCBC strategists Sim Moh Siong and Christopher Wong highlight that recent US labour data and escalating Middle East tensions are supporting the Dollar.
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-nfp-test-for-labor-resilience-bbh-202603061106,USD,USD: NFP test for labor resilience – BBH,Brown Brothers Harriman’s (BBH) Elias Haddad notes that the February NFP report will be crucial for assessing whether the US labor market is genuinely strengthening or if January’s strong gains were a one-off.
2026-03-06,FXStreet,https://www.fxstreet.com/news/us-nonfarm-payrolls-set-to-grow-at-moderate-pace-in-february-after-stellar-january-202603060500,USD,US Nonfarm Payrolls set to show moderate job growth as traders pare Fed rate cut bets,The United States (US) Bureau of Labor Statistics (BLS) will release the Nonfarm Payrolls (NFP) data for February at 13:30 GMT.
2026-03-06,FXStreet,https://www.fxstreet.com/news/qatars-kaabi-oil-prices-could-surge-to-150-a-barrel-ft-202603061008,USD,Qatar’s Kaabi: Oil prices could surge to $150 a barrel - FT,"Qatar’s Energy Minister Saad al-Kaabi said in an interview with the Financial Times (FT) published on Friday that all Gulf energy producers to shut ​down exports within weeks amid the ongoing war in the Middle East, which involves the United States (US), Israel, and Iran."
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-inr-drops-at-open-outlook-remains-firm-amid-higher-oil-prices-fiis-selling-202603060533,USD,USD/INR trades cautiously ahead of US NFP data,The Indian Rupee (INR) trades higher against the US Dollar (USD) during afternoon trading hours in India on Friday.
2026-03-06,FXStreet,https://www.fxstreet.com/news/silver-price-today-silver-rises-according-to-fxstreet-data-202603060930,USD,"Silver price today: Silver rises, according to FXStreet data","Silver prices (XAG/USD) rose on Friday, according to FXStreet data. Silver trades at $84.20 per troy ounce, up 2.65% from the $82.02 it cost on Thursday."
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-softer-payrolls-expected-deutsche-bank-202603060846,USD,USD: Softer payrolls expected – Deutsche Bank,"Deutsche Bank economists project a slowdown in February Nonfarm Payrolls to 30k from January’s 130k, with the Unemployment Rate steady at 4.3%."
2026-03-06,FXStreet,https://www.fxstreet.com/news/gold-advances-but-remains-on-track-for-weekly-decline-202603060353,USD,Gold remains stronger as US Dollar holds losses despite Fed cautious tone,Gold price (XAU/USD) recovers its recent losses from the previous session on Friday.
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-jobs-data-and-yields-in-focus-danske-bank-202603060737,USD,USD: Jobs data and yields in focus – Danske Bank,"Danske Research Team highlights that the key release is the US February jobs report, where they expect Nonfarm Payrolls to slow to 70k and unemployment to hold at 4.3%. Weekly jobless claims remain low and layoffs are easing, while productivity has cooled and unit labour costs have risen."
2026-03-06,FXStreet,https://www.fxstreet.com/news/usd-limited-impact-from-jobs-data-commerzbank-202603060630,USD,USD: Limited impact from jobs data – Commerzbank,Commerzbank’s Volkmar Baur argues that the upcoming US labour market report is unlikely to shift expectations for Federal Reserve policy or materially reprice the Dollar.
2026-03-06,NewsAPI (BusinessLine),https://www.thehindubusinessline.com/markets/forex/rupee-rebounds-from-lowest-level-to-settle-45-paise-higher-at-9160-per/article70707005.ece,USD,Rupee rebounds from lowest level to settle 45 paise higher at 91.60 per $,The rupee rebounded from its lowest level and settled with a gain of 45 paise at 91.60 (provisional) against US dollar on Thursday on the back of a buying trend in domestic equity markets and reports of Reserve Bank intervention.
2026-03-06,NewsAPI (newsBTC),http://www.newsbtc.com/analysis/solana-sol-rally-builds-95/,USD,"Solana (SOL) Rally Builds, Traders Watch Critical $100 Test",Solana started a fresh increase above the $88 zone. SOL price is now consolidating above $90 and might aim for more gains above the $95 zone. SOL price started a fresh upward move above the $85 and $88 levels against the US Dollar. The price is now trading ab…
2026-03-06,NewsAPI (BusinessLine),https://www.thehindubusinessline.com/markets/forex/rupee-rebounds-from-all-time-low-gains-48-paise-to-9157-against-us-dollar-in-early-trade/article70705983.ece,USD,"Rupee rebounds from all-time low, gains 48 paise to 91.57 against US dollar in early trade","Higher crude oil prices, a strengthening American currency and intense selling of Indian equities by foreign investors amid escalating tension in West Asia keep rupee under pressure"
