date,source,url,currency,title,snippet
2026-03-07,ForexLive,https://investinglive.com/news/china-continues-the-gold-buying-spree-as-reserves-climb-for-a-16th-straight-month-20260307/,CNY,China's gold buying spree continues as reserves climb for a 16th straight month,"China gold reserves at the end of February 2026: 74.22 million troy ouncesIn January 2026: 74.19 million troy ouncesChina gold reserves value at the end of February 2026: $387.59 billionIn January 2026: $369.58 billionIs anyone really surprised? China has arguably the biggest buyer out there for a while now. And that also might be evident with the kind of price action we've seen with gold in the past week.The precious metal has been bid up in every Asian trading session all through the week, onl"
2026-03-07,FXStreet,https://www.fxstreet.com/news/china-inflation-and-trade-data-support-modest-recovery-ing-202603062227,CNY,China: Inflation and trade data support modest recovery – ING,"ING economists Lynn Song and Min Joo Kang expect China’s February CPI inflation to pick up to 1.0% year-on-year, mainly due to Lunar New Year effects, while the impact of higher Oil prices should appear later."
2026-03-07,FXStreet,https://www.fxstreet.com/news/cny-flows-diverge-as-safe-haven-doubts-grow-bny-202603061958,CNY,CNY: Flows diverge as safe haven doubts grow – BNY,"BNY’s Head of Markets Macro Strategy Bob Savage notes a sharp divergence between CNY forwards and spot, suggesting hedge unwinding alongside asset outflows. CNY has outperformed peers, yet the bank questions its safe haven role as spot flows show large outflows tied to expatriation."
2026-03-07,FXStreet,https://www.fxstreet.com/news/china-inflation-and-trade-data-signal-firmer-cycle-abn-amro-202603061742,CNY,China: Inflation and trade data signal firmer cycle – ABN AMRO,"ABN AMRO expects China’s CPI inflation to rebound to around 1% year-on-year in February, driven by Lunar New Year spending and base effects after a 0.2% reading in January."
2026-03-07,Yahoo Finance,https://finance.yahoo.com/news/china-deepen-reform-shenzhens-chinext-103154946.html,CNY,"China to deepen reform of Shenzhen's ChiNext board, regulator says",
2026-03-07,Yahoo Finance,https://finance.yahoo.com/news/chinese-coffee-titan-set-buy-110000114.html,CNY,Chinese coffee titan set to buy Oakland-born Blue Bottle Coffee,
2026-03-07,ForexLive,https://investinglive.com/news/atlanta-fed-gdpnow-q1-estimate-21-versus-32-previously-20260306/,USD,Atlanta Fed GDPNow Q1 estimate 2.1% versus 3.2% previously,"The Atlanta Fed GDPNow estimate for Q1 has declined to 2.1% from 3.2%. The GDPNow model estimate for real GDP growth (seasonally adjusted annual rate) in the first quarter of 2026 is 2.1 percent on March 6, down from 3.0 percent on March 2. After recent releases from the US Census Bureau, the US Bureau of Labor Statistics, the US Bureau of Economic Analysis, and the Institute for Supply Management, the nowcasts of first-quarter real personal consumption expenditures growth and real gross private"
2026-03-07,FXStreet,https://www.fxstreet.com/news/usd-cnh-upside-risks-as-strong-fix-meets-usd-demand-ocbc-202603062134,USD,USD/CNH: Upside risks as strong fix meets USD demand – OCBC,"OCBC strategists Sim Moh Siong and Christopher Wong note that USD/CNH has traded higher as Iran-related geopolitical tensions support the Dollar. Beijing has been setting a stronger CNY fix, which has helped stabilise the Renminbi and partially offset broader Asian FX softness."
2026-03-07,FXStreet,https://www.fxstreet.com/news/usd-chf-price-forecast-struggles-at-07800-dives-below-50-day-sma-202603061955,USD,"USD/CHF Price Forecast: Struggles at 0.7800, dives below 50-day SMA","The USD/CHF pair retreats on Friday during the North American session, down 0.53% as the Greenback weakens following a dismal jobs report, and a break to four day low beneath the 0.7800 figure."
2026-03-07,FXStreet,https://www.fxstreet.com/news/feds-hammack-inflation-problem-is-broader-than-just-tariffs-202603061954,USD,Fed’s Hammack: Inflation problem is broader than just tariffs,"Beth Hammack, President of the Federal Reserve (Fed) Bank of Cleveland, said that inflation is too high, adding that inflationary pressures are broad-based at the United States (US) Monetary Policy Forum in New York City on Friday."
